Code,Title,Description
1120.08,"Director, Insurance 1120.1000","Working Proprietor, Director, Insurance sets broad policies, Quarry/Proprietor, Quarry plans and co-ordinates within authority delegated, activities of private or public Working Proprietor, Quarry plans, organization, or major segment of it, organizes, directs and controls the dealing in life, fire, accident, marine and enterprise, wholly or partially and is other general insurance business. Is engaged in economic activities related to designated according to work performed extraction of stone, slate, sand and clay or authority exercised, such as: from earth. Is designated according to the CHAIRMAN, LIFE INSURANCE material quarried such as: CORPORATION, MANAGING DIRECTOR, WORKING PROPRIETOR, STONE QUARRY, (INSURANCE), DIRECTOR, INVESTMENTS WORKING PROPRIETOR, SLATE QUARRY. 1300 Working Proprietor, Well Director, Construction Drilling/Proprietor, Well Drilling Director, Construction plans, co-ordinates Working Proprietor, Well Drilling plans, and controls, within powers delegated, organizes, directs and controls the activities of public or private organizations enterprise wholly or partiallyand is or one or more of its branches or engaged in economic activities relatedto departments engaged in construction, drilling and sinking of deep wells, and maintenance and repairs of buildings, operating wells for extraction of crude roads, bridges, railway tracks, petroleum, natural gas, water and other aerodromes, canals, dams, etc. Is liquids and semi-liquids from deep below designated according to work performed surface. Or authority exercised such as: Is designated according to the type of well MANAGING DIRECTOR(CONSTRUCTION). Such as: PROJECT DIRECTOR(CONSTRUCTION). WORKING PROPRIETOR, OIL WELL. WORKING PROPRIETOR, GAS WELL"
1120.12,"Director, Mine plans, directs and co","Working Proprietor, ordinates, within powers delegated Construction/Proprietor, activities of public or private organizations Construction engaged in extracting coal, ores, mica, precious stones and other solid minerals from underground mines or open pits and Working Proprietor, Construction in treating and dressing ore or minerals at formulates policies, plans, organizes and mine site. Is designated according to work controls activities of the organization or performed or powers delegated such as: enterprise, wholly or partially. , Is engaged MANAGING DIRECTOR (MINES). In construction, maintenance and repair DIRECTOR, SALES (MINES). Of buildings, roads, bridges, railway tracks, aerodromes, canals, dams, etc. Is designated as: CONTRACTOR, BUILDING CONSTRUCTION. 1500 Working Proprietor, Manufacturing plans Director, Quarry organizes, co-ordinates and controls activities of enterprises wholly or partially and is engaged in producing, maintaining Director, Quarry plans, directs and co- or repairing capital and consumer goods ordinates, within powers delegated, excluding crops, minerals, electricity and activities of public or private organization natural gas. Is designated according to the engaged in excavating stone, slate, clay industry owned and controlled, such as: and sand from earth. Is designated WORKING PROPRIETOR, TEXTILE MILLS, according to work performed or powers WORKING PROPRIETOR, ENGINEERING exercised such as: MANAGING DIRECTOR, WORKSHOP. WORKING PROPRIETOR, QUARRY, DIRECTOR, STONE QUARRY. SHOE FACTORY,WORKING PROPRIETOR, DIRECTOR, MARBLE QUARRY. DIRECTOR, GLASS FACTORY. WORKING PROPRIETOR, LIMESTONE QUARRY. STEEL ROLLING MILLS WORKING PROPRIETOR PRINTING PRESS, WORKING PROPRIETOR, TANNERY, WORKING PROPRIETOR, BAKERY"
1120.16,"Director, Well Drilling","Executives Director, Well Drilling plans, directs and co-ordinates, within powers delegated, 1120. 1800 activities of public or private organization Director Manufacturing engaged in drilling and sinking deep wells and operating wells for extraction of Director, Manufacturing plans, organizes, mineral oil, natural gas, etc. Is designated co-ordinates and controls within authority according to work performed or economic delegated, activities of private or public activity directed, such as: MANAGING organizations, or one or more of its DIRECTOR, OIL WELL, MANAGING departments or branches, engaged in DIRECTOR, GAS WELL, DIRECTOR, OIL producing, maintaining or repairing capital WELL,DIRECTOR,GAS WELL. Or consumer goods, excluding crops, minerals, electricity and natural gas. Is designated according to work performed, authority exercised or economic activity directed such as: MANAGING DIRECTOR, Executives (MANUFACTURING). DIRECTOR, PRODUCTION(MANUFACTURING)"
1120.17,"DIRECTOR, WORKS(MANUFACTURING).","Working Proprietor, DIRECTOR, STEEL PLANT. DIRECTOR, Manufacturing/Proprietor, TANNERY. DIRECTOR, BAKERY. DIRECTOR, Manufacturing SADDLERY"
1120.21,Purchases goods in bulk and sells them,"Director, Wholesale Trade retailers or other large consumers for profit. Lays down and controls business policies to ensure profits, keeping in view Director, Wholesale Trade lays down price line, market trend and demand and policies within powers ,delegated,and supply position. Appoints Directors, plans, controls and directs operation of Managers and Representatives and private or public enterprise or segment of delegates financial and operational its activities engaged in buying and selling powers to them, if necessary. Runs of goods in wholesale. Is designated wholesale trade on monopoly or zonal according to work performed, such as: basis in specific commodities either by MANAGINGDIRECTOR (Wholesale Trade). Importing them from outside or CHAIRMAN, BOARDOF DIRECTORS manufacturing them in his own or other (Wholesale Trade). May require a licence or permit from public authorities for wholesale. May undertake export business. 2000 Director, Retail Trade lays down policies Working Proprietor, Retail within powers delegated and plans, Trade/Proprietor, Retail Trade controls and directs operation of private or public enterprises or a segment of its activities, engaged in buying and selling Working Proprietor, Retail Trade conducts goods in retail. Is designated according to business in retail trade on own account, work performed such as: MANAGING buying merchandise from manufacturers DIRECTOR (Retail Trade), CHAIRMAN, or wholesalers according to public BOARD OF DIRECTORS (Retail Trade) demand and sells them to customers for DIRECTOR-IN-CHARGE(Retail Trade). Lays down business policies regarding margin of profit and compliance with prescribed rules and regulations. May appoint Directors and Managers and Code 1120"
1120.23,"Working Proprietor, Transport plans, Title Managing Directors and Chief","Organizes, co-ordinates and controls Executives activities of the organization or establishment wholly or partly owned by 1120. 2500 him, is engaged in transporting Director, Communication passengers and freight by buses, trucks, taxis, rickshaws, tongas, and other means Director, Communication plans, organizes, of road transport; by boats, launches, co-ordinates and controls, within ships, etc. Plying on inland or coastal authority delegated, activities of public or waters or on high seas; by aircraft for private organization or one or more of its providing transport and other services, departments or branches, engaged in incidental to transport. Providing postal, telephone, telegraph, wireless and other communication Executives DIRECTOR, POSTAL SERVICES, POST MASTER GENERAL. DIRECTOR, OVERSEAS 1120. 2400 COMMUNICATION SERVICES. DIRECTOR Director, Transport OF TELEPHONES, DIRECTOR OF RAILWAY MAIL SERVICE. 2600 trucks, taxis, rickshaws, animal transport Director, Airport and other means of road transport; by Director, Airport plans, directs, and co- boats, launches and ships plying on rivers, ordinates, through subordinate personnel, coastal waters, and high seas; by aircrafts; activities concerned with construction and and operating services incidental to maintenance of airport facilities and transport. Is designated according to work operation of airport in accordance with performed, powers exercised of service governmental agencies or commission controlled, such as: MANAGING DIRECTOR policies and regulations. Consults with (TRANSPORT). Commission members, governmental DIRECTOR, TRAFFIC GENERAL, MANAGER, officials, or representatives of airlines to RAILWAYS, DIRECTOR, ROADWAYS, CHIEF discuss and plan matters, such as design OPERATING and development of airport facilities,. Negotiates with to public and private organizations by representatives of airlines, land, sea or air and arranges allied utility companies, or individuals for transport and communication facilities to acquisition of property for development parties concerned. Obtains license from of airports, lease of airport buildings and Government where necessary, and lays facilities, or use of rights-of-way over down business policies. Appoints private property. Formulates procedures Directors, Agents and Managers and for use in event of aircraft accidents, fires, delegates required financial and other or other emergencies. Inspects airport powers to them to ensure smooth running facilities, such as runways, buildings, of business, desired margin of profit and beacons and lighting, and automotive or compliance with business terms and construction equipment, or reviews Government rules and regulations. Inspection reports, to determine repairs, replacement, or improvements required"
1120.28,Personnel in investigating violations,"Director, Storage and Warehousing aerial or ground traffic regulations, reviews investigation reports, and initiates Director, Storage and Warehousing plans, actions to be taken against violators. Organizes, co-ordinates and controls, Directs studies on noise abatement within authority delegated, activities of resulting from complaints of excessive public or private organizations, or one or noise from low flying aircraft or other more of its branches, engaged in operations. Reviews reports of providing storage and warehouse facilities expenditures for previous fiscal year, on prescribed terms and conditions to proposes improvements to facilitate, Government and private parties. May arrange facilities of transport and order to prepare budget estimates for communication as required. Upcoming fiscal year. Represents airport May specialize in any particular type of before civic or other organizational item or commodity such as groups, courts, boards, and commissions. Machinery and engineering items, explosives, perishable goods, etc. And be designated accordingly"
1120.27,Executives,"Working Proprietor, Storage and Warehousing. 2900 Executive Chef Working Proprietor, Lodging and Catering Services Executive Chef co-ordinates activities and directs indoctrination and training of CHEFS, COOKS; and other kitchen workers Working Proprietor, Lodging and Catering engaged in preparing and cooking food in Services plans, organizes, co-ordinates hotels or restaurants to ensure an and controls operations of the efficient and profitable food service. Plans organization or establishment wholly or or participates in planning menus and partly owned by him and is engaged in utilisation of food surpluses and leftovers, serving food, drinks and beverages and taking into account probable number of providing lodging and camping facilities to guests, marketing conditions, popularity public. Included are: WORKING of various dishes, and decency of menu. PROPRIETOR, HOTEL. WORKING Estimates food consumption and purchase PROPRIETOR, RESTAURANT. WORKING or requisition of foodstuff and kitchen PROPRIETOR, CAFE WORKING supplies. Reviews menus, analyses PROPRIETOR, COFFEE HOUSE. Recipes, determines food, labour, and overhead costs, and assigns price to menu items. Directs food apportionment policy to control costs. Supervises cooking and other kitchen personnel and co-ordinates Executives their assignments to ensure economical and timely food production"
1120.3,Methods of food preparation and cooking,"Director, Lodging and Catering size of portions, and garnishing of food to Services/Director Food and ensure food is prepared in prescribed Beverage Service manner. Tests cooked food by tasting and smelling them. Devises special dishes and Director, Lodging and Catering Services develops recipes. Hires and discharges plans, organizes and controls, within employees. Familiarizes newly hired authority delegated, activities of public or CHEFS and COOKS with practices of the private organizations or establishments or restaurant kitchen and oversees training one or more of its branches, engaged in of COOK APPRENTICES. Maintains time preparing and serving food, drinks and and payroll records. Establishes and beverages and providing lodging, and enforces nutrition and sanitation camping facilities to public. Included are: standards for the restaurant. May DIRECTOR, HOTEL. Supervise or co-operate with DIRECTOR, RESTAURANT. STEWARD/STEWARDESS in matters DIRECTOR, COFFEE HOUSE. Pertaining to kitchen, pantry, and storeroom. Executives Title Managing Directorsand Chief Executives"
1120.31,National Classification of Occupations 2015 Division 1,"3200 and circus shows; organizing and Working Proprietor, Recreation and presenting radio and television programmes; operating carnivals and Entertainment amusement parks; organizing games, sports, hunting, fishing, excursion, Working Proprietor, Recreation and competitions, etc. , and providing other Entertainment plans, organizes, co- entertainment and recreation services. Ordinates and controls operations of the Included are; organization or establishment wholly or DIRECTOR, MOTION PICTURE. DIRECTOR, partly owned by him and is engaged in STAGE. DIRECTOR, STUDIO. DIRECTOR, producing, distributing and exhibiting STADIUM. DIRECTOR, RADIO STATION. Motion pictures; producing and presenting stage and circus shows; operating carnivals and amusement parks; organizing games, sports, hunting, fishing, excursion, competitions, etc. , and Executives providing other entertainment and recreation services. Included are: WORKING PROPRIETOR, FILM STUDIO. 3400 PRODUCER, MOTION PICTURES, FILM Station Director, Radio/TV DISTRIBUTOR, WORKING PROPRIETOR, THEATRE, WORKING PROPRIETOR, Station Director, Radio/TV directs and co- CARNIVAL, WORKING PROPRIETOR, ordinates activities of radio or television AMUSEMENT PARK. WORKING station, or of cable television franchise. PROPRIETOR, GYMNASIUM, WORKING Supervises directly, or through PROPRIETOR, SWIMMING POOL, subordinates, personnel engaged in WORKING PROPRIETOR, DANCE HALL, departments, such as sales, programmeor WORKING PROPRIETOR, CINEMA, engineering. WORKING PROPRIETOR, CIRCUS. Observes activities to ensure compliance with government regulations. Discusses Executives Confers with owners or company senior management to discuss station policies 1120. 3300 and administrative procedures. May Director, Recreation and prepare operational budget and monitor expenses for station or franchise. May Entertainment negotiate with motion picture companies for purchase of independent film Director, Recreation and Entertainment programmes. Plans, organizes and controls, within May negotiate cable franchise contract authority delegated, activities of public or with local issuing authority. May develop private organizations or establishments or strategies to promote sales of new cable one or more of its branches or television service or upgraded service to departments, engaged in producing, customers within the franchise area. May distributing and exhibiting motion contact prospective buyers of station time pictures; producing and presenting stage. May NSQF Level 8 manage stations engaged in transmitting broadcasts to foreign countries and be. Title Managing Directors and Chief May perform different duties and Executives responsibilities, according to station size and network affiliation. 3500 Working Proprietor, Other Services Working Proprietor, Other Services plans, organizes, co-ordinates and controls Executives activities of the organization, wholly or partly owned by him, and is engaged in"
1120.3401,Running and managing educational,"Account Director (Advertising institutions; rendering medical and other Agency) health services, sanitation, washing and cleaning households, garments, etc. And Account Director (Advertising Agency) is providing other services. Responsible for managing the client advertisement portfolio"
1120.36,(Advertising,"Agency) Director, Other Services NSQF Level 8 Director, Other Services plans, organizes Executives departments or branches, engaged in running educational institutions; 1120. 3402 rendering medical sanitation and other health services. Organizing and providing Sales Director (Media Org) religious services, promoting welfare of workers or community, giving charity Sales Director (Media Org) is responsible assistance or aid to infirm or orphans. For leading the sales efforts of a media Organizing and managing trade and labour and entertainment company. Organizations and other civic and social associations, washing and cleaning Qualification Pack Details: garments etc. , undertaking and cremating; QP NOS Reference MES/Q0201 and performing other services. Included QP NOS Name Sales Director are: DIRECTOR OF EDUCATIONAL (Media Org) INSTITUTIONS. DIRECTOR OF CHARITABLE. Materials or suggests changes. Instructs classes in institution's education Executives 1120. 3700 Code 1120 Director, Museum/Zoo Title Managing Directors and Chief Executives Director, Museum/Zoo administers affairs"
1120.38,"Of museum, zoo","Confers with the Chief Librarian institution's board of Directors to formulate policies and plan overall Chief Librarian plans and administers operations. Directs acquisition, education, programme of library services: Submits research, public service, and recommendations on library policies and developmental activities of the institution, services to the governing body, such as consulting with curatorial, administrative, board of Directors or board of Trustees, and maintenance staff members to and implements policy decisions. Implement policies and initiate Analyses, selects, and executes programmes. Works with members of recommendations of personnel, such as curatorial and administrative staffs to department chiefs or branch supervisors. Acquire additions to collections. Confers Co-ordinates activities of the branch or with administrative staff members to departmental libraries. Analyses and co- determine budget requirements, plans ordinates departmental budget estimates fund raising drives, prepares applications and controls expenditures to administer for grants from government agencies or approved budget. Reviews and evaluates private foundations, and solicits financial orders for books and audio-visual support for institutions. Establishes and materials. Examines trade publications maintains contact with administrators of and materials, interviews publishers' other institutions to exchange information representatives, and consults with others concerning operations and plan, co- to select materials. Administers personnel ordinate, or consolidate community regulations, interviews and appoints job service and education programmes. Applicants and promotes and discharges Represents the institution at professional employees. Plans and conducts staff and civic social events, conventions, and meetings and participates in community other gatherings to strengthen and professional meetings to discuss and relationships with cultural and civic act on library problems. Delivers book leaders, present lectures or participate in reviews and lectures to publicise library seminars, or explain institution's functions activities and services. Provides library and seek financial support for projects. Public relation services. May examine and Reviews materials prepared by staff select materials to be discarded, repaired, members, such as articles for journals, or replaced. Requests for grants and reports on National Classification of Occupations 2015 Division 1 Executives Working Proprietors and Directors, Other"
1120.39,"Workers plan, organize, control, co","Principal, College ordinate and supervise activities of public or private organizations, wholly or Principal College directs and co-ordinates partially owned by them or on behalf of educational, administrative, and others, engaged in generating, counselling activities of college. Develops transmitting and distributing electricity; and evaluates educational programmes to producing and supplying gas, purifying ensure conformance to state and and supplying water and providing related university standards. Develops and co- services not elsewhere classified. Ordinates educational programmes through meetings with staff, review of. Confers with teachers, students, and parents concerning educational and Executives behavioural problems in the college. Establishes and maintains relationships Sub Division 12 with colleges, community organizations, and other colleges to co-ordinate Administrative and Commercial educational, sports and cultural services. Managers Forwards requisitions and allocates supplies, equipment, and instructional material as needed. Directs preparation of Administrative and Commercial Managers class schedules, cumulative records, and plan, organize, direct, control and co- attendance reports. Observes and ordinate the financial, administrative, evaluates teacher performance. Human resource, policy, planning, Interviews and hires teachers. Walks research and development, advertising, around the college building and property public relations, and sales and marketing to monitor safety and security. Plans and activities of enterprises and organizations, monitors college budget and financial or of enterprises that provide such matters. May plan and direct building services to other enterprises and maintenance. May develop and organizations. Administer educational programmes for Tasks performed by workers in this sub- students with mental or physical major group usually include: formulating handicaps. And administering policy advice, strategic and financial planning; establishing and Executives providing advice to Senior Managers; directing the development of initiatives. Representing the enterprise or organization in negotiations, and at 1211. 0100 conventions, seminars, public hearings General Manager, Bank and forums. General Manager, Bank organizes, Occupations in this Sub Division are controls and supervises, within authority classified into the following Groups: delegated, activities of a private or public bank or one or more of its departments or 121 Business Services and branches. Is designated according to Administration Managers authority delegated or work performed 122 Sales, Marketing and Development such as: AGENT (BANK) SUB-AGENT Managers (BANK) Business Services and Administration Managers"
1211.02,"Manager, Insurance","Business Services and Administration Managers plan, organize, direct, control General Manager, Insurance organizes, and co-ordinate the financial, controls and supervises, within authority administrative, human resource, policy, delegated, activities of a private or public planning, activities of organizations, or of organization or one or more of its enterprises that provide such services to departments or branches, engaged in life, other enterprises and organizations. Fire, accident, marine and other general insurance business. Occupations in this Group are classified into the following Families: 1211 Finance Managers Code 1211 1212 Human Resource Managers. 0300 enterprises that provide human resource Purser, Ship services to other enterprises and organizations. Purser, Ship deals with correspondence"
